"","From","FromAnno","To","ToAnno","Jaccard","Cor"
"1","hsa:1181","CLCN2, CIC-2, CLC2, ECA2, ECA3, EGI11, EGI3, EGMA, EJM6, EJM8, clC-2; chloride channel, voltage-sensitive 2; K05011 chloride channel 2 (A)","hsa:513","ATP5D; ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit (EC:3.6.1.14); K02134 F-type H+-transporting ATPase subunit delta [EC:3.6.3.14] (A)","0.58","0.37"
"2","hsa:1181","CLCN2, CIC-2, CLC2, ECA2, ECA3, EGI11, EGI3, EGMA, EJM6, EJM8, clC-2; chloride channel, voltage-sensitive 2; K05011 chloride channel 2 (A)","hsa:509","ATP5C1, ATP5C, ATP5CL1; ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (EC:3.6.1.14); K02136 F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14] (A)","0.58","0.24"
"3","hsa:2027","ENO3, GSD13, MSE; enolase 3 (beta, muscle) (EC:4.2.1.11); K01689 enolase [EC:4.2.1.11] (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.98","0.48"
"4","hsa:2027","ENO3, GSD13, MSE; enolase 3 (beta, muscle) (EC:4.2.1.11); K01689 enolase [EC:4.2.1.11] (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.98","0.44"
"5","hsa:27063","ANKRD1, ALRP, C-193, CARP, CVARP, MCARP, bA320F15.2; ankyrin repeat domain 1 (cardiac muscle) (A)","hsa:509","ATP5C1, ATP5C, ATP5CL1; ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (EC:3.6.1.14); K02136 F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14] (A)","0.63","0.28"
"6","hsa:389136","VGLL3, VGL-3, VGL3; vestigial like 3 (Drosophila) (A)","hsa:9551","ATP5J2, ATP5JL; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2 (EC:3.6.1.14); K02130 F-type H+-transporting ATPase subunit f [EC:3.6.3.14] (A)","0.89","0.93"
"7","hsa:2029","ENSA, ARPP-19e; endosulfine alpha (A)","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","0.75","0.84"
"8","hsa:4953","ODC1, ODC; ornithine decarboxylase 1 (EC:4.1.1.17); K01581 ornithine decarboxylase [EC:4.1.1.17] (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.9","0.28"
"9","hsa:4953","ODC1, ODC; ornithine decarboxylase 1 (EC:4.1.1.17); K01581 ornithine decarboxylase [EC:4.1.1.17] (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.9","0.24"
"10","hsa:128240","APOA1BP, AIBP, YJEFN1; apolipoprotein A-I binding protein (EC:5.1.99.6); K17759 NAD(P)H-hydrate epimerase [EC:5.1.99.6] (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.8","0.23"
"11","hsa:128240","APOA1BP, AIBP, YJEFN1; apolipoprotein A-I binding protein (EC:5.1.99.6); K17759 NAD(P)H-hydrate epimerase [EC:5.1.99.6] (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.8","0.18"
"12","hsa:2356","FPGS; folylpolyglutamate synthase (EC:6.3.2.17); K01930 folylpolyglutamate synthase [EC:6.3.2.17] (A)","hsa:509","ATP5C1, ATP5C, ATP5CL1; ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (EC:3.6.1.14); K02136 F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14] (A)","0.91","0.61"
